op,ticker,strike,exp_date,exit_date,fields,note
DELETE,AMZN,3400C,3300-04-01,,,"Phantom Open row from parser bug. '3300-04-01' is not a real date; came from misreading a 2022 message like '$3,300 in 1/4 contracts'."
DELETE,AMZN,3400C,3300-04-01,2022-03-29,,"Phantom Closed (scale-out @ $10) exit for the same bogus 3300-04-01 contract."
DELETE,EWY,155C,2027-01-20,,,"Parser captured wrong strike/exp/cost. Real position is EWY 170C 2027-01-15 cost 19.20 — replaced by INSERT below."
INSERT,EWY,170C,2027-01-15,,status=Open|cost_avg=19.20|entry_date=2026-02-24|note=Open.,"Canonical screenshot row 57 (operator-confirmed truth)."
UPDATE,WDC,260C,2026-05-29,,strike=560C,"Parser captured strike 260 instead of 560 from message '$WDC 560C added back' (3 was misread). Canonical row 43."
INSERT,WDC,500C,2026-05-29,2026-05-06,status=Closed|cost_avg=15.50|exit_price=31.00|pnl_pct=100.00|entry_date=2026-04-23|days_held=13|note=Scale out 1/2,"5/6 message '$WDC half out @ 100%' has no $ price (100% is pnl). Parser correctly skips price-less TRIM after the (?!\s*%) bugfix. Canonical row 41 confirms exit @ $31.00 (15.50→31 = +100%)."
UPDATE,EWY,155C,2027-01-15,,status=Closed|exit_date=2026-02-20|exit_price=20.00|pnl_pct=74.67|days_held=7|note=Out at $20 from $11.45 — primary target 144/145 approaching,"2/20 message: 'out $EWY 20JAN 155C @ $20 from $11.45'. '20JAN' is Mir shorthand for JAN 2027 monthly (he uses same pattern as '20MAR' for 3/20/26 monthlies). Parser misparses as literal Jan 20 → phantom contract. Canonical row 56 confirms close 2/20 @ $20 (+74.67%)."
DELETE,RKLB,120C,2026-12-18,,,"Auto-Open row replaced by 2 exit INSERTs below. Canonical rows 52-53 show this fully closed."
INSERT,RKLB,120C,2026-12-18,2026-04-20,status=Closed|cost_avg=7.85|exit_price=15.70|pnl_pct=100.00|entry_date=2026-04-14|days_held=6|note=Scale out 1/2. Raise stop,"Canonical row 52."
INSERT,RKLB,120C,2026-12-18,2026-05-01,status=Closed|cost_avg=7.85|exit_price=10.00|pnl_pct=27.39|entry_date=2026-04-14|days_held=17|note=Remaining 1/2 contract. Stop loss triggered at 10,"Canonical row 53 — the RKLB stop the parser missed."
UPDATE,AMZN,250C,2026-05-15,2026-05-15,exit_price=13.70|pnl_pct=0.00|note=Remaining 1/2 contract,"Parser tagged as CLOSE without price; real exit at cost basis (0% pnl). Canonical row 37."
UPDATE,XPEV,25C,2025-11-14,2025-11-14,exit_date=2025-11-06|exit_price=0.62|pnl_pct=-27.06|days_held=0|note=Stop loss @ 0.62 (entry 11/06 same day),"2025-11-06 15:05 deep-audit catch: 'Stopping out of $XPEV @ 0.62'. Parser defaulted to expired-worthless on 11/14."
UPDATE,TSM,267.5P,2025-11-28,2025-11-28,exit_date=2025-11-21|exit_price=3.33|pnl_pct=0.00|days_held=0|note=Closed at breakeven (user retroactively flagged as non-wifey trade),"2025-11-21 13:00: 'closing the $TSM puts for breakeven. After further inspection this doesn't meet wifey premium criteria.' Parser defaulted to expired-worthless on 11/28."
UPDATE,LITE,420C,2026-01-23,2026-01-23,exit_date=2026-01-07|exit_price=19.20|pnl_pct=60.00|days_held=0|note=Closed for 60% same day; no closing breakout,"2026-01-07 15:27: '$LITE 23jan 420c out for 60%'. Parser defaulted to expired-worthless on 1/23. Canonical row 16."
UPDATE,SMH,400C,2026-03-20,2026-03-20,exit_date=2026-01-28|exit_price=33.00|pnl_pct=57.14|days_held=91|note=Remaining 1/3 contract — out of final contract,"2026-01-28 14:40: '$SMH out of final contract'. Parser defaulted to expired-worthless on 3/20. Canonical row 27."
DELETE,SMH,450C,2026-03-20,2026-03-20,,"Phantom expired-worthless row replaced by 2 inserts below (scale 2/13 @ 11.45 + close 2/20 @ 5.30). Canonical rows 28-29."
INSERT,SMH,450C,2026-03-20,2026-02-13,status=Closed|cost_avg=6.00|exit_price=11.45|pnl_pct=90.83|entry_date=2026-02-09|days_held=4|note=Scale out 1/2,"Canonical row 28 — first SMH 450C exit the parser missed."
INSERT,SMH,450C,2026-03-20,2026-02-20,status=Closed|cost_avg=6.00|exit_price=5.30|pnl_pct=-11.67|entry_date=2026-02-09|days_held=11|note=Remaining 1/2 contract; closed for scratch,"Canonical row 29 + 2026-02-18 'SMH 20MAR 450C closing these out for scratch'."
