timestamp,content
2022-01-28T15:56:12.224-05:00,"@everyone  $MELI 18FEB 1200/1210 Call debit is $1.
Sounds like a steal"
2022-02-18T17:32:24.804-05:00,"@everyone going to review our open swings this weekend. Namely $GOOGL and why I didn't sell that pop.

Also, most of my swings are longer timeframe macro trades.
Do you want more medium term swings with a hold time of 1-2 weeks?"
2022-02-19T18:44:30.598-05:00,"@everyone 100% agree with the feedback on the day trades. We'll still do some but only at key levels. We can capture the same gains by working smarter not harder. If unfamiliar with selling call credit spreads please review how to place those orders before market open.
First one on the list is selli"
2022-03-01T11:13:00.538-05:00,"@everyone 11MAR $SPY 425/420 put debit spread @ 1.20
This will be our hedge heading into FOMC"
2022-03-02T07:42:41.571-05:00,Hi @TraderMir do you have any target for $GLD?
2022-03-03T08:39:29.576-05:00,@TraderMir any update on the 3/18 $GD calls? Still a couple weeks left on it but just wanted to see where your head is at
2022-03-04T11:09:54.893-05:00,"@everyone 
Sell $UPST. Total destruction."
2022-03-07T12:35:54.399-05:00,"@everyone we're up 100% on the $SPY put vertical. Taking profits.
If you have multiple leave a runner"
2022-03-09T05:50:43.269-05:00,"@TraderMir should we close $FCX at loss or maintain them? I don’t think we’ve lost the positive channel, but I’m not sure at all"
2022-03-14T12:21:27.373-04:00,"@everyone $GOOGL put spreads are up 138%.
Going to take profits here. Leave a runner if you have multiple units"
2022-03-17T13:56:42.912-04:00,"@everyone 
I'm thinking of a $BABA straddle to play off this catalyst"
2022-03-18T09:31:02.712-04:00,"@everyone $SPY had a nice short covering rally and is now above the 20sma w/ the 50sma just above @ 442.
My thought is we have a pullback sometime early next week and retest the 20sma @ 429. I'm going to take a swing short position to capture this.
Bought 
SPY 23MAR 435/430put vertical @ $1.28"
2022-03-23T09:28:34.177-04:00,@everyone $FANG likely breaks out to 52week high today. I'd consider covering the short strike (buying the 150c) to maximize profits.
2022-03-23T15:28:39.899-04:00,@everyone $GOLD looks ready to party again
2022-03-25T11:41:08.235-04:00,"@everyone @Swing Trades 
Big move in oil here. I'm going to use this pop to take profits on $FANG trade"
2022-03-28T09:39:14.006-04:00,"@Swing Trades take profits on the $AMZN butterfly up here..
We don't want it to pass the center strike of 3350"
2022-03-28T10:51:22.466-04:00,"@Swing Trades  $TSLA butterfly is almost to target. Way earlier than I thought.
Take profits here as we don't want it to move above the center strike"
2022-03-29T08:28:05.996-04:00,Hi @TraderMir should we be out of $FCX after Russia-Ukraine war news?
2022-03-29T09:36:00.306-04:00,"@Swing Trades taking profits on $GOOGL swing
Sell 2825/2850 @ $16"
2022-04-01T15:35:28.414-04:00,"@Swing Trades 
I'm going to take the loss on $NVDA wait for a better set-up.
$ROKU I'd take the loss on but it's down so much at this point it's a might as well hold situation"
2022-04-01T15:59:49.362-04:00,@Swing Trades remember if you want a cheaper choice on how to play these don't hesitate to ask. $SPY calls are always an option too
2022-04-05T09:54:50.77-04:00,"@Day Trades ringing the register on $AMZN @ $48.
I'll look to reload this after tomorrow's FED minutes"
2022-04-06T10:51:46.479-04:00,"@Swing Trades 
$UNG 17C are up 150%
going to take these off and leave the 20calls to keep working.
This recovers our initial capital and some winnings + keep us in the trade"
2022-04-08T13:32:40.488-04:00,"@Swing Trades 
$AMD can stay on as long as it holds 98 support. Might take some pain here in the short term"
2022-04-10T01:03:39.747-04:00,"@Swing Trades 
TA for $KMI.
Target: ~21.50"
2022-04-10T02:08:54.009-04:00,"@Swing Trades 
$MOS TA, breakout over resistance
Entry price: $3.5
Target 1: 78"
2022-04-11T08:47:00.866-04:00,"@Swing Trades 
$QQQ opening w/in target zone outlined in trade plan. I'll be taking profits at open then see how things set up.
We've rallied into CPI reports this year. This time we're selling into it. Seems a change in tone.
Also, the post CPI selloffs are getting shallower. Fully priced in?"
2022-04-11T21:08:29.057-04:00,"@Swing Trades 
As I was telling chat last week I want $AMZN at 2960. Lots of confluence here of demand, backtest of trendline break, and lower bolinger band.
For confirmation I'll be watching for:
1. 2950 to hold convincingly
2. Bullish options flow"
2022-04-12T12:48:00.573-04:00,@Swing Trades I'm sticking a fork in the $AMZN swing for now. Brainard's comments are having the same effect that caused the selloff last week
2022-04-12T12:50:24.148-04:00,@Swing Trades we can put the trade back on later when the coast is clear. $AMZN won't be going anywhere just yet
2022-04-14T09:55:26.752-04:00,@Swing Trades watching $QQQ 343 to hold. If it doesn't I'll sell the $AMZN call for next week.
2022-04-14T15:29:20.562-04:00,@Swing Trades I'm adding the $QQQ put butterfly. We may bounce but there's no signs at the moment by bulls even at support
2022-04-14T15:34:17.391-04:00,"@Swing Trades 
$AMZN didn't hold 3050 and there's no demand until 2970 from here.
I'll sell for a loss and see where it is next week."
2022-04-18T03:55:20.687-04:00,$ZEN Swing set-up
2022-04-18T04:07:53.719-04:00,"$NKE 16SEP 135/140call vertical @ $2.3
*Stop loss: 40%"
2022-04-18T19:11:56.199-04:00,"@Swing Trades $ZEN
Possible sale announcement. This one's up 6% in after hours. Depending on the news we'll be ready to cash out tomorrow"
2022-04-19T09:12:01.313-04:00,@Swing Trades $UNG hit our 618 fib target yesterday as RSI hit 96. We're giving some back this morning but still up huge on this runner. Taking profits at open and I'll wait for a new setup
2022-04-21T15:57:46.585-04:00,@Swing Trades I'm taking profits on the $QQQ put butterfly and keeping a cheaper put for tomorrow expiry
2022-04-27T10:27:00.177-04:00,@Swing Trades for $MSFT I'm down the full value of the spread  *unless $MSFT closes below 277 on Friday. Going to hold a bit longer as most ER gains have been given up lately
2022-04-27T15:06:44.812-04:00,"@Day Trades 
$PYPL and $TDOC have ER as well. I'd sell call credit spreads on both"
2022-04-29T15:27:38.509-04:00,"@Swing Trades $HD is sitting right at support again. I don't think it holds this time as it has tested it too many times much like everything else we've seen.
BOT $HD 20MAY 300put @ $10.35
*Stop loss: 50%"
2022-04-29T15:44:12.184-04:00,"@Swing Trades 
Taking profits on the $SPY puts since we have the $HD position now. 
SOLD @ $6.66 😈"
2022-05-02T09:24:03.285-04:00,"@Swing Trades looking at $SQ 110 or 115calls to start the week. I'll pick some up at open if we dip or mid day.
$SQ has ER Thursday so we can profit of IV increase + direction"
2022-05-02T15:21:05.659-04:00,@Day Trades $TSLA 950C can work for an overnight trade. If you have SQ don't need this though
2022-05-03T15:47:39.178-04:00,@Swing Trades I'm adding a complete lotto ticket on $AMZN 2750call for this week @ $1.50.
2022-05-04T11:10:59.607-04:00,"@Swing Trades 
Buying $IWM 17JUN 180puts @ $5.40 (starter position)"
2022-05-04T12:28:49.899-04:00,@Swing Trades  buying *$FB  215calls @ $6 for next week
2022-05-04T18:18:05.127-04:00,"@Swing Trades 
No plans to sell the $IWM put for June. Labeled it a starter position so we can add as the bear market rally moves up.
Think of it like a marker.
Small caps are most vulnerable when credit markets are breaking down."
2022-05-05T09:48:47.512-04:00,@Swing Trades take the win on $FB. Market coming back down
2022-05-05T11:37:44.226-04:00,"@Swing Trades going to hold $IWM puts as insurance. You're welcome to take some off here and catch your breadth. 
Aside from AMZN lotto all calls and put swings posted this week closed green. WILD WEEK
$SQ $TSLA $FB $IWM"
2022-05-06T10:53:14.979-04:00,"@Swing Trades $FB 220call for next week are *$2.5. I'm buying these as a low cost way to play a counter trend move.
*$2.50 not $0.30"
2022-05-09T10:07:09.009-04:00,"@Swing Trades bought 
$SHOP 350Put for this week @ $17"
2022-05-09T10:19:57.527-04:00,"@Swing Trades time to get back into our $UNG position on the pullback.
Buying June 17th $UNG 25calls @ $3.20"
